# Distance(km)   North (mm)  East (mm)   Hor (mm)   Vert (mm)     Lon         Lat      Elev (m)     ID
     22.3349      5.0830      2.3801      5.6127     15.0798   -118.9014     37.7834   2749.4977    BALD
     15.0036      6.9005      3.2189      7.6143     16.2108   -118.8967     37.6446   2391.5039    CA99
     14.0809      3.9861      3.5527      5.3395     22.5821   -118.9812     37.7442   2265.4104    DDMN
     22.8327      3.0386      4.1312      5.1283     14.8432   -119.0906     38.0515   1965.4390    DECH
     85.9820      0.7834      0.8765      1.1756      6.7435   -118.0393     37.7428   1511.9377    DYER
     21.5355      2.7513      4.4596      5.2400     13.3232   -118.8213     37.6586   2160.8970    HOTK
      9.5116      6.9864      4.3250      8.2168     17.9183   -118.9792     37.6591   2651.6740    KNOL
     20.0452      5.4232      5.3841      7.6420     16.5231   -118.8805     37.7133   2395.5770    KRAC
    -68.6707      1.2125      1.6072      2.0133      8.1387   -119.0579     36.3600    472.0000    LCOV
      5.3895      7.3346      4.4104      8.5585     19.4544   -119.0173     37.6372   3057.0794    LINC
      2.9860     16.5346     17.2276     23.8785     27.5890   -119.0609     37.6538   2776.9320    MINS
    -42.9529      2.9631      4.1984      5.1387     14.2841   -119.3093     37.1699   2042.5274    MUSB
     11.1125      6.6935      4.8388      8.2594     16.8820   -118.9447     37.6405   2317.3791    MWTP
     64.0051      1.8069      1.2291      2.1853      8.3306   -117.5315     36.6143   1967.5170    P091
     83.9712      1.5090      1.0120      1.8169      8.4239   -117.4068     36.8042   2157.7410    P092
     27.5128      1.8942      2.3369      3.0082      9.7172   -117.9941     36.6060   1339.7230    P093
     82.3223      1.7000      2.0729      2.6808      9.1521   -117.7042     37.2008   1729.8720    P094
    -42.7805      5.3026      4.3926      6.8857     21.6715   -119.7061     37.7131   1580.4430    P245
    -42.3496      2.3073      2.4469      3.3632     19.3600   -119.8402     37.9012   1502.0000    P308
     18.1177      3.4194      3.6024      4.9668     16.1964   -118.5198     37.1776   3698.6484    P311
      9.1518      4.2387      5.7941      7.1790     14.2778   -118.1324     36.4668   2902.2640    P465
     39.3876      1.6612      2.2065      2.7619      8.9504   -117.7895     36.5313   2755.2470    P466
     18.0520      2.1403      3.4213      4.0356     10.9032   -118.0906     36.5702   1380.1261    P467
     38.0340      1.4361      2.3224      2.7305      9.8483   -118.1184     36.9757   2853.9550    P468
     66.0875      0.9283      1.0962      1.4365      8.1414   -117.9358     37.2314   1795.4710    P469
    -50.3610      2.7533      2.7797      3.9124     16.7482   -119.6945     37.5626   1344.7265    P512
    -83.9375      3.8779      2.3313      4.5247     11.0519   -119.2293     36.3245     78.2330    P566
    -53.1695      3.4738      2.0838      4.0509     14.2640   -118.7667     36.2314    914.1873    P571
